wahlbezirk_nr,wahlbezirk,Wahlb ohne Sperrv,Wahlb mit Sperrv,Wahlb nach�9,Wahlb insges,waehler_insgesamt,dav mit Wahl-schein,Ung�lt Stimmen,G�ltige Stimmen,cdu,spd,gruene,fdp,uwg_ms,die_linke,oedp,Seemann (Einzelbew),Schulte (Einzelbew),piraten
011,J�defelderstra�e,918,195,0,1113,431,0,3,428,135,93,123,37,2,20,4,-,-,14
012,Spiekerhof,715,432,0,1147,387,0,2,385,185,58,74,37,4,8,4,-,-,15
013,Sonnenstra�e,772,248,0,1020,384,0,0,384,154,78,87,33,6,10,2,-,-,14
014,Prinzipalmarkt,953,399,0,1352,448,0,2,446,154,104,88,55,8,10,3,-,-,24
015,Aegidii,900,227,0,1127,440,0,3,437,147,106,101,43,6,9,1,-,-,24
016,�berwasser,790,222,0,1012,367,0,1,366,132,80,98,20,4,16,6,-,-,10
B501,Brief Altstadt 1,0,0,0,0,722,0,1,721,363,120,119,68,17,8,5,-,-,21
B601,Brief Altstadt 2,0,0,0,0,818,0,5,813,461,130,112,64,14,11,3,-,-,18
01,Altstadt ges,5048,1723,0,6771,3997,0,17,3980,1731,769,802,357,61,92,28,-,-,140
021,Kapuzinerstra�e,1258,294,0,1552,548,0,3,545,183,121,135,54,10,20,1,-,-,21
022,Marientalstra�e,887,230,0,1117,507,0,3,504,123,137,152,39,6,24,2,-,-,21
023,Schulstra�e,999,275,0,1274,560,0,2,558,136,153,167,43,7,27,5,-,-,20
024,Schloss,1112,387,0,1499,588,0,3,585,220,107,122,79,11,17,2,-,-,27
025,Wilhelmstra�e,958,284,0,1242,439,0,8,431,126,101,122,38,7,18,1,-,-,18
B502,Brief Schloss 1,0,0,0,0,743,0,4,739,236,187,183,90,3,19,0,-,-,21
B602,Brief Schloss 2,0,0,0,0,632,0,3,629,254,134,108,93,7,15,3,-,-,15
02,Schloss ges,5214,1470,0,6684,4017,0,26,3991,1278,940,989,436,51,140,14,-,-,143
031,Finkenstra�e,894,243,0,1137,580,0,3,577,174,137,166,41,3,31,4,-,-,21
032,Tannenbergstra�e,946,243,0,1189,518,0,2,516,101,158,189,21,6,23,5,-,-,13
033,Siverdesstra�e,891,244,0,1135,457,0,3,454,101,118,159,24,3,21,7,-,-,21
034,Coerdestra�e,819,226,0,1045,484,0,1,483,135,122,133,47,7,14,4,-,-,21
035,Hoyastra�e,1083,344,0,1427,661,0,2,659,204,145,205,55,5,25,3,-,-,17
036,Gertrudenstra�e,985,296,0,1281,633,0,3,630,192,145,173,52,5,31,12,-,-,20
B503,Brief Kreuz 1,0,0,0,0,687,0,1,686,297,146,138,65,6,14,2,-,-,18
B603,Brief Kreuz 2,0,0,0,0,816,0,8,808,313,154,184,88,9,34,10,-,-,16
03,Kreuz ges,5618,1596,0,7214,4836,0,23,4813,1517,1125,1347,393,44,193,47,-,-,147
041,Holsteiner Stra�e,898,250,0,1148,498,0,2,496,169,134,99,38,8,23,13,-,-,12
042,Mecklenburger Stra�e,632,165,0,797,364,0,2,362,113,93,90,26,9,17,3,-,-,11
043,Staufenstra�e,997,258,0,1255,522,0,3,519,117,143,169,44,5,20,2,-,-,19
044,Overbergstra�e,705,191,0,896,382,0,1,381,73,102,154,17,5,18,2,-,-,10
045,Landeshaus,743,246,0,989,427,0,0,427,147,107,102,35,2,17,2,-,-,15
046,Zeppelinstra�e,1057,232,0,1289,506,0,4,502,116,156,131,47,4,30,4,-,-,14
047,Gartenstra�e,1267,314,0,1581,683,0,3,680,236,159,168,54,10,26,7,-,-,20
B504,Brief Piusallee 1,0,0,0,0,828,0,18,810,299,176,215,60,13,24,11,-,-,12
B604,Brief Piusallee 2,0,0,0,0,747,0,4,743,288,175,151,80,15,14,0,-,-,20
04,Piusallee ges,6299,1656,0,7955,4957,0,37,4920,1558,1245,1279,401,71,189,44,-,-,133
051,Salzmannstra�e,1178,157,0,1335,453,0,2,451,115,125,130,29,9,22,3,-,-,18
052,Nevinghoff/Flandernstra�e,803,232,0,1035,372,0,2,370,110,94,94,27,6,28,2,-,-,9
053,Rumphorstweg,854,322,0,1176,499,0,5,494,165,123,118,37,14,17,8,-,-,12
054,Uppenkampstiege,675,245,0,920,449,0,5,444,167,84,103,58,6,9,4,-,-,13
055,Kinderhauser Stra�e,1467,305,0,1772,521,0,2,519,132,131,146,51,7,25,8,-,-,19
056,Dreizehnerstra�e,1189,168,0,1357,580,0,5,575,120,173,180,39,10,35,5,-,-,13
B505,Brief Uppenberg 1,0,0,0,0,668,0,5,663,253,155,133,60,11,17,8,-,-,26
B605,Brief Uppenberg 2,0,0,0,0,632,0,0,632,232,132,155,67,8,10,2,-,-,26
05,Uppenberg ges,6166,1429,0,7595,4174,0,26,4148,1294,1017,1059,368,71,163,40,-,-,136
061,Hoppengarten,1037,306,0,1343,744,0,3,741,227,172,248,43,11,10,30,-,-,-
062,Saarstra�e,1310,335,0,1645,766,0,2,764,249,208,215,36,13,32,11,-,-,-
063,Ostmarkstra�e,1196,247,0,1443,592,0,1,591,144,148,188,50,13,34,14,-,-,-
064,P�tterhoek,1084,247,0,1331,572,0,8,564,186,186,130,28,12,16,6,-,-,-
065,K�sliner Stra�e,1069,265,0,1334,567,0,2,565,176,174,136,38,6,27,8,-,-,-
B506,Brief Rumphorst 1,0,0,0,0,610,0,3,607,253,120,138,48,12,21,15,-,-,-
B606,Brief Rumphorst 2,0,0,0,0,711,0,4,707,284,162,147,61,11,34,8,-,-,-
06,Rumphorst ges,5696,1400,0,7096,4562,0,23,4539,1519,1170,1202,304,78,174,92,-,-,-
071,Kirchstra�e,1260,340,0,1600,732,0,1,731,215,186,243,45,10,15,17,-,-,-
072,Dechaneistra�e,800,251,0,1051,468,0,3,465,149,127,129,35,3,18,4,-,-,-
073,Prozessionsweg,929,300,0,1229,593,0,6,587,249,109,153,53,8,12,3,-,-,-
074,Oststra�e,1004,234,0,1238,580,0,2,578,125,161,215,33,6,33,5,-,-,-
075,Zumsandestra�e,1076,300,0,1376,557,0,3,554,131,161,193,35,6,26,2,-,-,-
B507,Brief Mauritz-Mitte 1,0,0,0,0,840,0,6,834,348,162,170,109,14,24,7,-,-,-
B607,Brief Mauritz-Mitte 2,0,0,0,0,499,0,2,497,134,112,167,56,7,18,3,-,-,-
07,Mauritz-Mitte ges,5069,1425,0,6494,4269,0,23,4246,1351,1018,1270,366,54,146,41,-,-,-
081,Mauritz-Lindenweg,809,383,0,1192,558,0,5,553,289,124,95,24,2,12,4,-,-,3
082,Mindener Stra�e,1161,242,0,1403,619,0,1,618,192,172,163,40,2,23,5,-,-,21
083,Lambertistra�e,1355,274,0,1629,632,0,4,628,139,147,211,57,7,33,3,-,-,31
084,Hansaplatz,1102,263,0,1365,513,0,1,512,100,148,176,30,1,31,2,-,-,24
085,Sophienstra�e,1288,302,0,1590,602,0,6,596,124,170,215,28,4,29,4,-,-,22
B508,Brief Herz-Jesu 1,0,0,0,0,759,0,4,755,356,129,160,58,6,29,7,-,-,10
B608,Brief Herz-Jesu 2,0,0,0,0,537,0,3,534,150,121,175,41,4,22,3,-,-,18
08,Herz-Jesu ges,5715,1464,0,7179,4220,0,24,4196,1350,1011,1195,278,26,179,28,-,-,129
091,Bahnhofstra�e,1343,304,0,1647,595,0,5,590,149,149,170,34,8,39,3,2,3,33
092,Bremer Platz,1414,318,0,1732,626,0,7,619,117,163,211,41,7,42,3,4,3,28
093,Bremer Stra�e,550,115,0,665,221,0,3,218,28,65,67,11,0,25,1,2,2,17
094,Josef,1073,299,0,1372,561,0,5,556,167,158,150,29,5,20,3,0,3,21
095,Antoniuskirche,1112,336,0,1448,552,0,1,551,117,167,163,51,5,23,0,2,0,23
B509,Brief Pluggendorf/Bahnhof 1,0,0,0,0,567,0,2,565,183,131,147,38,6,19,5,7,0,29
B609,Brief Pluggendorf/Bahnhof 2,0,0,0,0,707,0,1,706,229,195,161,48,10,20,7,2,7,27
09,Pluggendorf/Bahnhof ges,5492,1372,0,6864,3829,0,24,3805,990,1028,1069,252,41,188,22,19,18,178
101,Zumbroockstra�e,801,171,0,972,394,0,8,386,92,113,120,20,5,17,2,-,-,17
102,Hafen,658,124,0,782,300,0,2,298,57,58,124,20,1,15,1,-,-,22
103,Alfred-Krupp-Weg,1070,169,0,1239,401,0,1,400,106,158,68,19,5,25,5,-,-,14
104,Herdingstra�e,951,132,0,1083,376,0,5,371,82,114,91,27,13,23,4,-,-,17
105,Dahlweg,910,144,0,1054,462,0,5,457,81,166,133,24,5,20,9,-,-,19
106,Scheibenstra�e,781,193,0,974,353,0,2,351,89,92,123,20,5,10,3,-,-,9
107,Kronprinzenstra�e,988,185,0,1173,551,0,5,546,107,190,171,35,6,14,7,-,-,16
B510,Brief Sch�tzenhof/Hafen 1,0,0,0,0,426,0,2,424,139,111,114,23,8,14,3,-,-,12
B610,Brief Sch�tzenhof/Hafen 2,0,0,0,0,619,0,1,618,193,182,154,39,7,18,6,-,-,19
10,Sch�tzenhof/Hafen ges,6159,1118,0,7277,3882,0,31,3851,946,1184,1098,227,55,156,40,-,-,145
111,Antoniusstra�e,755,165,0,920,390,0,2,388,142,111,82,39,1,11,2,-,-,-
112,Hornstra�e,704,198,0,902,387,0,1,386,93,119,123,28,9,13,1,-,-,-
113,Wei�enburgstra�e,1225,222,0,1447,589,0,3,586,159,178,176,24,7,31,11,-,-,-
114,Oberschlesier Stra�e,1196,191,0,1387,520,0,7,513,117,176,130,22,12,50,6,-,-,-
115,Gr�ner Grund,1136,199,0,1335,578,0,7,571,112,185,197,33,6,30,8,-,-,-
116,Turmstra�e,1037,280,0,1317,649,0,4,645,229,136,191,42,11,28,8,-,-,-
B511,Brief Geist/Pluggendorf 1,0,0,0,0,614,0,1,613,247,125,125,78,22,11,5,-,-,-
B611,Brief Geist/Pluggendorf 2,0,0,0,0,562,0,4,558,184,150,133,31,19,34,7,-,-,-
11,Geist/Pluggendorf ges,6053,1255,0,7308,4289,0,29,4260,1283,1180,1157,297,87,208,48,-,-,-
121,Scharnhorststra�e,1239,354,0,1593,580,0,5,575,185,144,170,50,5,16,5,-,-,-
122,Pluggendorf,1298,389,0,1687,607,0,5,602,256,141,134,36,8,22,5,-,-,-
123,Goerdelerstra�e,898,243,0,1141,363,0,1,362,111,114,74,25,7,27,4,-,-,-
124,Stephanuskirchplatz,761,184,0,945,399,0,4,395,140,122,77,30,3,20,3,-,-,-
125,Lange Ossenbeck,1009,280,0,1289,515,0,1,514,196,165,103,28,1,19,2,-,-,-
126,Delpstra�e,635,241,0,876,433,0,4,429,202,83,97,32,3,8,4,-,-,-
B512,Brief Aaseestadt 1,0,0,0,0,709,0,3,706,303,163,152,66,9,9,4,-,-,-
B612,Brief Aaseestadt 2,0,0,0,0,908,0,5,903,452,203,125,74,13,25,11,-,-,-
12,Aaseestadt ges,5840,1691,0,7531,4514,0,28,4486,1845,1135,932,341,49,146,38,-,-,-
131,Els�sser Stra�e,1274,243,0,1517,693,0,2,691,161,202,219,54,12,42,1,-,-,-
132,Spichernstra�e,1279,208,0,1487,644,0,9,635,206,216,117,60,14,20,2,-,-,-
133,Sternbusch,1075,271,0,1346,617,0,2,615,227,178,143,41,11,13,2,-,-,-
134,Kriegerweg,818,188,0,1006,388,0,4,384,131,158,52,20,8,14,1,-,-,-
135,Clemenshospital,1283,336,0,1619,647,0,3,644,276,193,88,47,17,16,7,-,-,-
B513,Brief D�esberg 1,0,0,0,0,420,0,4,416,156,119,76,45,9,8,3,-,-,-
B613,Brief D�esberg 2,0,0,0,0,740,0,4,736,359,172,78,73,20,28,6,-,-,-
13,D�esberg ges,5729,1246,0,6975,4149,0,28,4121,1516,1238,773,340,91,141,22,-,-,-
141,Schulzentrum Kinderhaus,629,78,0,707,297,0,2,295,118,95,33,28,5,11,0,-,-,5
142,Idenbrockplatz,747,101,0,848,263,0,1,262,108,69,33,29,5,15,1,-,-,2
143,Neuer Heidkamp,894,200,0,1094,455,0,4,451,114,163,99,39,5,21,0,-,-,10
144,Helmholtzweg,540,153,0,693,333,0,2,331,121,95,78,24,1,3,3,-,-,6
145,Fernholzstra�e,1040,326,0,1366,642,0,2,640,197,235,132,42,15,8,2,-,-,9
146,Br�ningheide,865,85,0,950,291,0,4,287,116,93,30,20,11,14,1,-,-,2
147,Killingstra�e,789,26,0,815,177,0,2,175,48,85,15,6,7,11,0,-,-,3
B514,Brief Kinderhaus-West 1,0,0,0,0,496,0,1,495,195,152,73,48,11,7,5,-,-,4
B614,Brief Kinderhaus-West 2,0,0,0,0,414,0,0,414,166,111,69,32,19,9,1,-,-,7
14,Kinderhaus-West ges,5504,969,0,6473,3368,0,18,3350,1183,1098,562,268,79,99,13,-,-,48
151,Sprakeler Stra�e,1076,188,0,1264,631,0,5,626,359,148,37,45,7,20,5,-,-,5
152,Sandruper Stra�e,740,103,0,843,344,0,1,343,174,78,39,23,5,17,3,-,-,4
153,Br�derichweg,1247,228,0,1475,655,0,5,650,243,184,99,57,15,27,7,-,-,18
154,Rektoratsweg,1101,262,0,1363,474,0,2,472,139,173,92,27,10,22,2,-,-,7
155,Heidk�ttersweg,945,190,0,1135,444,0,6,438,158,135,57,35,14,29,4,-,-,6
156,Kristiansandstra�e,1122,224,0,1346,522,0,2,520,216,117,97,44,16,18,4,-,-,8
B515,Brief Kinderhaus-Ost/Sprakel 1,0,0,0,0,492,0,2,490,244,107,45,62,7,15,2,-,-,8
B615,Brief Kinderhaus-Ost/Sprakel 2,0,0,0,0,641,0,6,635,238,177,100,68,13,20,4,-,-,15
15,Kinderhaus-Ost/Sprakel ges,6231,1195,0,7426,4203,0,29,4174,1771,1119,566,361,87,168,31,-,-,71
161,Dachsleite,1121,129,0,1250,316,0,2,314,145,118,24,10,2,11,4,-,-,-
162,K�nigsberger Stra�e,1357,207,0,1564,392,0,8,384,128,115,49,36,6,40,10,-,-,-
163,An der Meerwiese,1164,132,0,1296,448,0,4,444,126,155,88,38,7,27,3,-,-,-
164,G�rlitzer Stra�e,857,154,0,1011,365,0,5,360,135,114,37,40,2,29,3,-,-,-
165,Breslauer Stra�e,871,132,0,1003,335,0,4,331,155,100,23,24,2,21,6,-,-,-
166,Marderweg,965,63,0,1028,188,0,0,188,78,64,18,15,0,12,1,-,-,-
B516,Brief Coerde,0,0,0,0,772,0,5,767,361,181,85,80,12,32,16,-,-,-
16,Coerde ges,6335,817,0,7152,2816,0,28,2788,1128,847,324,243,31,172,43,-,-,-
171,Gelmer,1204,187,0,1391,704,0,6,698,374,146,70,76,8,22,2,-,-,-
172,Dyckburgstra�e,1044,288,0,1332,552,0,6,546,261,114,92,50,9,14,6,-,-,-
173,Birkenweg,824,201,0,1025,492,0,3,489,186,96,128,43,11,23,2,-,-,-
174,An der Konradkirche,848,294,0,1142,550,0,2,548,287,77,66,92,16,8,2,-,-,-
175,Maikottenh�he,676,205,0,881,459,0,1,458,183,82,84,44,55,7,3,-,-,-
B517,Brief Gelmer/Dyckburg 1,0,0,0,0,458,0,1,457,236,88,57,57,2,9,8,-,-,-
B617,Brief Gelmer/Dyckburg 2,0,0,0,0,660,0,1,659,378,103,62,93,15,6,2,-,-,-
17,Gelmer/Dyckburg ges,4596,1175,0,5771,3875,0,20,3855,1905,706,559,455,116,89,25,-,-,-
181,Hornheide,776,142,0,918,447,0,4,443,202,120,55,35,12,14,5,-,-,-
182,Kasewinkel,747,247,0,994,513,0,1,512,247,112,47,54,11,7,34,-,-,-
183,Kr�sbreede,832,200,0,1032,525,0,6,519,292,98,59,45,8,8,9,-,-,-
184,Heriburgstra�e,1209,289,0,1498,755,0,5,750,340,220,87,54,14,15,20,-,-,-
185,Dorbaum,1191,161,0,1352,656,0,5,651,245,217,60,57,40,19,13,-,-,-
B518,Brief Handorf 1,0,0,0,0,546,0,1,545,282,118,43,78,6,7,11,-,-,-
B618,Brief Handorf 2,0,0,0,0,425,0,3,422,218,96,34,48,12,8,6,-,-,-
18,Handorf ges,4755,1039,0,5794,3867,0,25,3842,1826,981,385,371,103,78,98,-,-,-
191,Haus-Kleve-Weg,947,244,0,1191,545,0,6,539,273,109,68,58,8,13,3,-,-,7
192,Hegerskamp,1355,262,0,1617,690,0,10,680,213,229,140,38,7,29,8,-,-,16
193,Damaschkeweg,877,169,0,1046,404,0,5,399,140,106,74,31,11,17,6,-,-,14
194,Franz-Grillparzer-Weg,1141,254,0,1395,721,0,5,716,247,196,160,56,15,19,3,-,-,20
B519,Brief Mauritz-Ost 1,0,0,0,0,480,0,3,477,231,108,57,54,5,10,4,-,-,8
B619,Brief Mauritz-Ost 2,0,0,0,0,407,0,0,407,169,106,69,34,5,11,8,-,-,5
19,Mauritz-Ost ges,4320,929,0,5249,3247,0,29,3218,1273,854,568,271,51,99,32,-,-,70
201,B�ddingheideweg,1372,267,0,1639,697,0,4,693,316,137,129,54,10,24,6,-,-,17
202,Delstrup,1164,149,0,1313,733,0,5,728,391,125,138,39,4,18,7,-,-,6
203,Kranichweg,1138,263,0,1401,652,0,4,648,358,125,98,46,1,7,2,-,-,11
204,Letterhausweg,922,142,0,1064,396,0,4,392,140,104,77,33,5,12,2,-,-,19
205,Biederlackweg,938,170,0,1108,542,0,6,536,262,142,73,31,3,12,1,-,-,12
206,L�tkenbecker Weg,1295,245,0,1540,560,0,4,556,192,145,115,42,12,28,6,-,-,16
B520,Brief Gremmendorf 1,0,0,0,0,646,0,2,644,341,123,92,51,8,14,1,-,-,14
B620,Brief Gremmendorf 2,0,0,0,0,520,0,3,517,226,111,81,55,9,10,5,-,-,20
20,Gremmendorf ges,6829,1236,0,8065,4746,0,32,4714,2226,1012,803,351,52,125,30,-,-,115
211,Kreuzbach,836,196,0,1032,503,0,2,501,266,122,65,27,4,6,2,-,-,9
